Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Hecho #1: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Interviene defensa civil, bomberos y autoridades locales
Se recomienda circular con precaución.",INUNDACION,-28.685494,-58.585432,07/03/2023
Hecho #2: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Evaluación preliminar de impacto socioeconómico, ambiental y vial, Afecta a varias localidades, se registraron evacuados",SISMO,-40.078133,-58.775245,27/01/2019
Hecho #3: evento reportado,"Afecta a varias localidades, se registraron evacuados, Interviene defensa civil, bomberos y autoridades locales",SISMO,-25.807671,-68.946099,30/04/2005
Hecho #4: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Evaluación preliminar de impacto socioeconómico, ambiental y vial",INUNDACION,-31.289487,-72.266892,22/08/2025
Hecho #5: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Evaluación preliminar de impacto socioeconómico, ambiental y vial",INCENDIO,-51.797970,-66.924010,24/07/2025
Hecho #6: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Interviene defensa civil, bomberos y autoridades locales",NEVADA,-21.828840,-69.857274,20/01/2001
Hecho #7: evento reportado,"Afecta a varias localidades, se registraron evacuados, Afecta a varias localidades, se registraron evacuados, Afecta a varias localidades, se registraron evacuados",DESLIZAMIENTO,-29.121250,-65.084230,29/08/2000
Hecho #8: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Evaluación preliminar de impacto socioeconómico, ambiental y vial",NEVADA,-28.273814,-53.413078,22/04/2006
Hecho #9: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Interviene defensa civil, bomberos y autoridades locales, Reporte de evento con daños materiales y cortes de energía",NEVADA,-50.644136,-69.378573,11/06/2020
Hecho #10: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados",SISMO,-39.686878,-66.622521,23/05/2015
Hecho #11: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Reporte de evento con daños materiales y cortes de energía, Se emiten alertas tempranas y recomendaciones a la población",INUNDACION,-42.392867,-58.497714,14/03/2013
Hecho #12: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Se emiten alertas tempranas y recomendaciones a la población",GRANIZO,-23.489990,-62.816344,09/09/2010
